idUser,idGame,isRecommended,hoursOnRecord,hoursAtReviewTime,purchaseType,datePosted,receivedFree,reviewText,numFoundHelpful,numFoundFunny,numComments
628,1,true,1872.7,1199.2,direct,2020-06-04T00:19:59.113Z,false,Aut fugit aut ipsa. Similique ad aperiam velit aperiam sit. Consequatur consequuntur autem occaecati exercitationem officia cupiditate dolorem inventore. Voluptas quo vel assumenda laborum autem. Aut qui ea ab voluptatibus officiis. Cum dolore sed qui eligendi voluptatem aut. Est ab iste. Possimus est et numquam odio dolorem dolor placeat blanditiis doloremque. At dicta sunt sed minus esse dolore. Maiores in inventore delectus id et dicta non nobis id. Nulla recusandae quia. Laborum quia quae distinctio qui sunt et. Est incidunt nam dolor deserunt totam est quidem ut. Ex et rem et mollitia voluptates. Illo unde sit culpa eligendi voluptatem consequatur itaque fuga placeat.,418,359,84
211,1,true,3718.3,1379.8,direct,2020-05-22T18:37:02.382Z,false,Minima quia in et accusamus corporis. Aliquid et nihil. Dolorem deserunt fugiat aut quo placeat fugiat omnis quo. Repellendus quaerat nisi nobis.,493,188,77
234,1,true,1345.1,573.4,direct,2020-06-06T19:53:45.391Z,false,Eius placeat quam labore dolor similique culpa eveniet. Aut in vitae animi ipsa non consequuntur. Ipsa quia ducimus sit molestias natus earum itaque. Officia nostrum perspiciatis consectetur praesentium. Officia autem minima voluptas. Et rerum ducimus. Sapiente suscipit nihil blanditiis rerum error quibusdam. Provident eum cupiditate at expedita voluptatem ea ipsum itaque. Ut aperiam fuga delectus accusamus aut. Neque est dolorem accusamus qui voluptates dolor voluptatem est facere. Nesciunt amet ut odio et quaerat. Enim non ea quas. Laudantium sint iste in qui. Est mollitia similique debitis consequatur cumque. Voluptatum repudiandae voluptatum quisquam maxime.,689,440,11
512,1,true,1288.8,579.7,direct,2020-05-31T15:40:04.551Z,true,Perspiciatis architecto neque necessitatibus accusamus a et et est dolorem. Tempora repellat sed explicabo aliquid voluptatem odio dolorum beatae. Inventore sint molestiae. Impedit ut molestias voluptas. Eveniet voluptate qui aperiam ut labore vitae voluptas rem beatae. Nobis ea in temporibus quas cumque qui amet. Quis praesentium iure quia voluptatum. Fuga praesentium natus temporibus alias enim quas quia molestias. Pariatur veritatis enim. Consequuntur qui blanditiis. Laboriosam animi nesciunt nemo magni enim reprehenderit aut dignissimos. Dignissimos sint rerum dolores consectetur unde dolor quidem. Et quis sed ratione cupiditate sapiente. Est deserunt quod consequatur qui.,74,791,48
511,1,true,1029,487.3,key,2020-05-20T10:57:32.710Z,false,Est modi assumenda non sed sint magnam maiores. Harum dolorem consectetur consectetur et saepe. Laborum optio cupiditate velit laudantium reiciendis consequatur tenetur sit cum. Delectus dolorum nisi inventore ut officiis fuga. Molestias ut dolor voluptas quis nulla voluptatem aut sequi consequuntur. Cupiditate sunt commodi eum quo voluptatibus deserunt debitis at error. Id quia velit dolores aut dignissimos. Voluptatem hic facilis. Quisquam molestiae rerum nulla et perspiciatis deserunt tempora est. Autem eum ut accusantium adipisci eum qui fugit. Ab modi omnis voluptatem sed nihil maxime magnam placeat. Ea sint perspiciatis aliquam sint. Omnis asperiores suscipit. Sunt nihil non voluptatem sed nulla officiis quas. Dolores earum vero at.,539,698,9
290,1,true,1851,1707.8,direct,2020-06-02T18:21:13.472Z,false,Officia totam expedita non qui tempore odio autem eos itaque. Quia nihil ex fugiat sed aut assumenda quis inventore. Officia dicta est est sit et totam quidem eos eligendi. Nihil iure aut. Eligendi unde quo totam et est. Velit excepturi enim harum rerum possimus.,717,687,82
680,1,false,2475.2,1167,key,2020-06-09T12:35:22.588Z,false,Aut a enim repellat est. Ratione cum reiciendis facilis. Assumenda perspiciatis harum. Officia totam accusantium voluptatem. Architecto natus suscipit temporibus iusto quaerat in.,288,527,25
558,1,true,1610.5,51.6,key,2020-05-24T09:19:23.080Z,false,Optio et aut illo aliquam et vitae accusantium. Quasi iste rerum itaque provident occaecati beatae. Fugiat eligendi vero et est incidunt aperiam ut modi quibusdam. Tempora perferendis qui suscipit iusto beatae incidunt quisquam. Aperiam similique voluptatem repellat qui accusantium perspiciatis ut fugit. Sequi doloremque vel exercitationem assumenda ab tempora ut animi.,668,85,83
716,1,true,2735,1077.7,key,2020-02-24T19:03:11.488Z,false,Sequi est quia autem in. Est provident impedit incidunt sunt occaecati aut corrupti. Est corporis corrupti ut. Assumenda similique similique totam ut suscipit quis qui id.,173,36,18
471,1,false,921.9,370.9,key,2020-06-05T01:48:44.216Z,true,Consequatur aut laudantium quis ea nostrum earum alias eos voluptatem. Voluptatem nostrum veritatis repellendus eos qui quisquam quia atque id. Minima id aut sint minus. Cupiditate cupiditate voluptate voluptas omnis. Qui et facere ipsum tempora est et enim aut dolorum.,306,628,12
